,conteudo
138,ol pessoal dia sbc realizar edio maratona feminina programao objetivo incentivar participao feminina peties programao maratona sbc programao olimpada brasileira informtica prova online professores possibilidade juntar mundo imd mini evento acho legal preciso noo interesse meninas participar ento voc mulher pessoa binria interesse participar gostaria respondesse formulrio contando curso detalhando competies programao precisa dvida mandar mensagem telegram responder formulrio inscreve petio inscrever obter informaes acompanhe perfil mfp instagram obs s pessoas j responderam formulrio peo respondam incluido campo email campo utilizado entrar vocs posteriormente
139,up
140,up
141,existe previso professor substituto assumir turma professora marianne visto j aceitou assumir cargo
142,up
143,up
144,dvida relao turma planejamento gerenciamento projetos
145,ol pessoal professor substituir professora marianne aprovado concurso recentemente est seguindo trmites homologao resultado concurso contratao
146,prezados sabendo servidores tcnicoadministrativos deflagraram greve ms passado consequncia secretaria bti conta servidor atividade diego entretanto semana diego frias venho informar secretaria bti fechada previso semana retorno diego atendimentos voltem ocorrer horrio reduzido funo greve at l peo situaes urgentes possam esperar at dia prxima segundafeira encaminhados coordenao preenso
147,ol professor acabei enviar email senhor explicando situao basicamente est faltando anlise atividades autnomas consiga formar poderia ajudar
148,ol matheus acabei realizar anlise plementares voc submeteu
149,empresa gerencia estgio mudou enviei documentao professor kayo orientador encaminhou secretaria coordenao documentos assinados at dia fico receber ms maio poderia gentileza imagino senhor ecarregado pudesse esperar faria
150,ficar disponvel aproveitamento matrias veteranos
151,up
152,up
153,ward
154,up
155,ol pessoal s esclarecer solicitao aproveitamento feita vocs via sigaa vocs estariam referindo processos dispensa caso devemos lanar calendrio semana reabertura secretaria
156,prezados iniciativa aluno bcc pedro lucas criado unidade segue servidor criado reunir estudantes profissionais tecnologia unidade cincia computao voc encontrar informaes cursos oportunidades emprego discusses tecnologias chance participar clubes dedicados diferentes reas putao convido adeso link abrao prolo
157,solicitaes dispensa turma perodo proficincia informamos est aberto perodo solicitaes dispensa ponentes curriculares bti semestres ofertados imd solicitaes realizadas atravs link disponibilizado abaixo perodo solicitaes organizao notificao isses deferimentos agendamento provas aplicao provas divulgao resultados abertura processos at formulrio preenchimento solicitaes importante solicitao dispensa estudante explicitar provar caso aplicvel considera adquirido conhecimento contedos ponente curricular instrumento dispensa ponentes curriculares utilizado conhecimento contedo sido adquirido atravs ponentes curriculares cursados instituio ensino superior ufrn aplicandose caso regras referentes aproveitamento incorporao estudos dispensa ponente curricular estudante sido reprovado ponente curricular ponente curricular equivalente
158,previso p sair solicitaes proficincia matrias
159,tambm gostaria matrias solicitar proficincia
160,s sero disciplinas
161,abrir disciplinas dispensa
162,tambm interessado solicitar dispensa matrias vamos solicitar
163,disciplinas abarcam basicamente semestre sentido abertura disciplinas
164,pessoal dispensa disciplinas ficar disponvel prximas semanas primeiramente calouros veteranos
165,veremos notificaes respeito deferimentos dias prova afins
166,up secretaria coordenao tm previso calendrio solicitaes dispensa disciplinas perodo
167,est contrataoalocao professor disciplina horrio tendo vista j alocado docente horrio posterior n
168,up
169,up
170,up
171,up
172,up
173,up
174,up
175,up
176,ol pessoal professor est processo contratao acredito at semana sala aula
177,up
178,turma n est docente professora ismenia
179,professora ismenia turma n porm turma n atribuda professor substituto processo contratao
180,up
181,up
182,up
183,update finalmente est chegando projeto extenso rene diferentes formatos temas eventos acontecer entres dias terafeira trazer eventos incrveis imd ano novidade participao evento revertida plementares parecidos plementares d pra melhorar n sabemos divulgao ficou hora pedimos desculpas gostaramos trazer melhores variados eventos conseguissem participar esperamos vocs l hein esqueam preencher forms inscrio indicando eventos iro participar ando preciso inscrito participar receber plementares link formulrio informaes acompanhe instagram
184,up
185,up
186,plementares xd
187,up
188,up
189,up
190,up
191,arcondicionados sala estudos b pararam funcionar j tornado ambiente quente sala b melhores lugares estudar imd calor plicado passar l existe alguma previso arcondicionados vo consertados timo ideia vamos calor l
192,up
193,up
194,up
195,up calor j ventilado arcondicionado quase certo cara derreter
196,up
197,up
198,up
199,sa passando sala
200,up
201,estudar
202,estudar
203,up
204,duras penas tento estudar l inferno sala imprescindivel climatizao idem devido s condies climticas atuais d pra tlos funcionando conforto j questo humanismo
205,up
206,up
207,ol pessoal verificando situao noticias informo
208,ol pessoal recebendo relatos mau funcionamento equipamentos arcondicionados salas imd resposta diretoria administrativa reparos previso devido fatores depender caso adeso greve servidores superintendencia infraestrutura contrato manuteno vigente peas manuteno
209,pessoal esto abertas at abril inscries chapas titular suplente desejarem concorrer s eleies representao discente junto colegiado bcc candidatar discentes regularmente matriculados bcc j optaram nfase computao bti detalhes edital anexo so atuais colegiado bcc divulguem participem abrao prolo coordenador bcc
210,est aberta temporada inscries seletivas times esportes eletrnicos esports aaa tirana bti inscries vo at ento perca inscreva modalidades csgo league of legends valorant clash royale rocket league fifa free fire ficou interessado deixe pra inscries esto chegando ento corre link formulrio inscrio
211,up
212,kd dota
213,up
214,up
215,up
216,sdds dota tt
217,up
218,brabo pletamente
219,amantes dotinha semestre infelizmente rolar prximo
220,ol pessoal pra conseguirmos organizar est ltimo semestre curso pretende colar grau semestre segue link whatsapp vamos decidir colao placa fotos assuntos pertinentes caso consiga acessar link mandar mensagem
221,up
222,up
223,up
224,prezados peo formado eleito representante formandos possa servir coordenao secretaria bti
225,up
226,up
227,up
228,up
229,up
230,up
231,up
232,iosparaotrern
233,link correto
234,prezados pilar informaes importantes relacionadas estgio curricular vocs cartilha estgio elaboramos nela vocs vo encontrar esclarecimentos funciona estgio procedimentos encaminhar documentao
235,up
236,up
237,up
238,up
239,up
240,ol aluna mt preciso alterar n causa trabalho algum gostaria realizar troca procurar via whatsapp
241,estgio remunerado instrutor ensino alunos ensino fundamental auxiliar ti tecnologia informao graduao rea andamento concludo oue tcnico ti conhecimento pacote office igatrio conhecimentos manuteno micros rede programao bsica jogos aplicativos sites preferencial morar prximo vaga aberto benefcios vale transporte horas semanais segundafeira sextafeira r setecentos reais disponibilidade imediata expansivo colgio curso unidade planalto candidatos interessados preencher formulrio enviar currculo link
242,noiteainda disponvel
243,entrevistas ocorreram tera feira dia
244,selecionando monitores disciplina dim aprendizado profundo vaga remunerada bolsa vagas possveis voluntrios incio imediato tarefa monitores auxiliar estudantes matriculados dim durante aulas laboratrio principalmente inscries esto abertas at dia processo seletivo ocorrer dia manh dimap
245,inscries ocorrem at amanh prova seleo disciplinas imd aprendizado profundo dim tpicos especiais computao xv aprendizado profundo equivalentes
246,rafael dia hoje domingo h h equipe ufrn reau feike camila duarte joo victor malheiros ranna petindo guadalajara fase latinoamericana icpc transmitido vivo link vamos torcer abraos rafael
247,up contest petidores
249,pgina principal scoreboard brasil scoreboard problemas live
250,up
251,up
252,ol pessoal divulgo oferta disciplina optativa horrio t imd anlise redes t ministrada mim atravs conceitos teoria grafos disciplina anlise redes possui muitas aplicaes inteligncia artificial bioinformtica tratase disciplina optativa bti programa estudos secundrios pes cincia dados disciplina requer conhecimento bsico python contedos bsicos teoria grafos sero tratados introduo disciplina interesse conferir referncias bsicas disciplina atenciosamente prof patrick terrematte
253,aulas disciplina earam professor
254,pedro turma criada ento aulas iro prxima aulas extras longo semestre serem agendadas atenciosamente prof patrick terrematte
255,h alguma chance ofertada fiquei interessado disciplina obrigatria justamente t
256,tambm gostaria matria ofertada semestre
257,interesse disciplina j matriculado disciplina horrio possibilidade abrir alguma outro horrio
258,ol pessoal interesse disciplina atual confirmar disciplina ministrada prximo semestre depender demanda disciplinas obrigatrias ciclo bsico princpio pretendo ministrar anlise redes semestre aprendizagem profunda semestre caso possam cursar semestre sero bemvindos disciplina prxima turma abraos prof patrick t
259,empresa belt cargo supervisor desenvolvimento web trabalhosetor setor desenvolvimento quantidade vagas salrio fixo discutido conforme plano carreira horrio trabalho sextafeira s h intervalo almoo benefcios vale transporte vale alimentaorefeio ajuda combustvel plano sade opcional plano odontolgico opcional seguro vida caf manh motivo contratao aumento quadro descrio atividades analista sistemas web voc responsvel desenvolvimento aprimoramento contnuo aplicaes web alta qualidade tarefas incluiro desenvolvimento utilizando spring boot backend angular frontend colaborao ativa processo design implementao execuo testes unitrios integrados manuteno documentao tcnica atualizada participao processos reviso cdigo requisitos bsicos candidato pleto anlise desenvolvimento similar experincia ano anlise desenvolvimento sistemas web java conhecimento tecnologias web bancos dados relacionais metodologias geis competncias comportamentais anlise soluo problemas auto desenvolvimento inovao liderana organizao informaes adicionais buscamos unicao calmo facilidade aprendizado ateno detalhes habilidades resoluo problemas trabalho equipe gesto qualidade acompanhamento vaga candidatos aprovados sero contatados agendamento entrevistas
260,sinfo informou problema matriculas extraordinrias resolvido alunos precisam procurar secretaria bti
261,atualmente turno mt desejo trocar n algum n querendo mt
262,interesse troca
263,opa chama whatsapp
264,algum quiser tambm noturno
265,tambm pro noturno algum queira pro turno manh integral chamar whatsapp
266,oi pessoal selecionando monitores voluntrios projeto incluso digital idosos proeidi projeto ministra aulas computador smartphone pensamento computacional acontece sbados disponibilidade monitores maro at junho horrio h s h voc interesse participar projeto estaremos s h dia maro sbado b apresentar projeto conhecer selecionar interessados dvidas respondam frum mandem email aguardamos vocs
267,igo
268,up
269,up
270,up
271,up
272,up
273,upp
274,inscries projeto ensino leitura escrita bacharelado tecnologia informao esto abertas at via sigaa portal discente bolsas oportunidades bolsas seleo monitores lngua inglesa vaga remunerada vagas remuneradas fase prova escrita prova escrita posta questes objetivas discursivas dia quartafeira horrio m h h fase anlise histrico entrevista aprovados fase horrio entrevista sero confirmados aps resultado prova escrita prrequisitos cursado sido dispensado cumprido prticas leitura ingls dvida entrar contato email
275,juntese ns projeto meg voc estudante universitria rea engenharia tecnologia chance unidade inspiradora dedicada promover presena mulheres cincia tecnologia inscrevase at dia faa jornada transformadora link inscrio projetomeg mulheresnacincia stem ufrn instagram projeto
276,prezados semestre professor eduardo vicecoordenador estaremos disponveis seguindias diashorrios h s h prof eduardo h s h prof giro sala coordenao fica corredor esquerda elevadores trreo prdio semestre
277,up
278,up
279,nao ningum hoje noite tambm nao ningum
280,tambm dias semana sala fechada
281,pessoal noite consegui cumprir horrio coordenao hoje estaremo realizando servios sala atendendo secretaria b
282,dvidas disciplinas escolher prximo semestre portal disciplinas imd voc conhecer cerca disciplinas imd ano passado melhores condies tomar decises curriculares disciplina podcast oa docente trabalhar aula formas avaliao conhecimentos prvios desejados principais obstculos enfrentados alunos pgina matria voc encontrar classificaes professor trabalhar metodologias clssicas ativas avaliaes provas atividades atividades individuais abordagem terica prtica tambm portal voc conhecer ndices aprovao reprovao matria podendo pesquisar desses parmetros classificaes disciplina puder divulgar portal colegas ajudlos terem melhores condies escolherem trajetrias imd acesse tambm ajudaria responder pequeno questionrio tornarmos portal melhor voc
283,tima plataforma ajudar discentes curso
284,legal adriano puder divulgar colegas valia
285,up
286,up
287,up
288,vaga cdigo estudantes disponibilidade estgio perodo manh carga horria bolsa auxlio r r auxilio transporte bairro lagoa estudante desenvolver seguintes atividades auxiliar seguintes atividades digitao pedidos totvs solicitao fornecedor pedidos provador criao cdigos produtos totvs solicitar transferncias produtos lojas anlise dados desenvolvimento relatrios pd otimizao processos acompanhamento carteira ercial atividades pertinentes funo cadastros realizados site super estgios gratuitamente
289,esto abertas inscries monitoria geometria euclidiana tambm fmc so bolsas remuneradas disciplina trs vagas noremuneradas aps feita inscrio enviar histrico email inscries at segundafeira entrevista sala h
290,empresa comav comrcio combustveis aviao ltda cnpj enviar currculos segmento transportes estgio obrigatrio carga horria hsemana hdia prazo oferta vaga bolsa r includo vale transporte curso cincia computaotecnologia informao cursando perodo graduao objetivo relacionar astcnicas utilizadas elaborao desenvolvimento projeto processos sistemas controle implantao sistemas aspectos prticos desenvolvidos empresas logstica correlao mesmos atividades ajudar criao aplicaes anlise dados definio padres melhores prticas desenvolvimento identificar padres dados armazenados propor anlises prever controlar andamento resultados desenvolvimento bi reas operacional finanas responsabilidades gerar dados analisar dados registrar controles gerar relatrios desenvolver processos desenvolver bi skils alta concentrao alta capacidade analtica agilidade relacionamento interpessoal unicao oral escrita conhecimento excel avanado desenvolvimento bi power bi metodologias processos geis
291,ol pessoal divulgo vaga remunerada monitoria disciplinas fmc fmc vagas monitor voluntrio disciplina fmc fmc preferncia candidatos selecionados informaes enviem histrico email at sbado vamos entrevista s h sala atenciosamente patrick terrematte
292,vaga remunerada obrigatoriamente disciplinas fmc
293,ol matheus endo enviar currculo avaliao preferencialmente monitor vaga remunerada cursado disciplinas est disposto atender auxiliar produo materiais didticos disciplina semestre ministrando fmc projeto vale ano projeto tambm atender docentes ministram fmc atenciosamente patrick terrematte
294,vaga cdigo estudantes disponibilidade estgio perodo manh carga horria bolsa auxlio r r auxilio transporte bairro lagoa estudante desenvolver seguintes atividades auxiliar seguintes atividades atuar atividades manuteno evolutiva realizar varredura eliminao vrus instalar manter sistemas realizar manutenes manuteno putadores impressoras anlise tcnica hardware software detectar falhas instalar configurar aplicativos encaminhar chamados efetuar testes prestando suporte usurios usurios empresa organizao manter sistemas operacionais windows linux realizando manutenes preventivas corretivas acompanhamento soluo erros disponibilidade recursos ti realizar visitas campo clientes
295,tratase continuidade produo portal disciplinas imd feito uso vrias mdias esclarecer natureza disciplinas bacharelado ti apresentando metodologias aplicadas formas avaliao envolvidas material didtico disponvel perfil formativo principais dificuldades pedaggicas ponente informaes dispostas formato dinmico formal usualmente visto importante subsdio estudantes bti possam proceder escolha adequada ponentes curriculares iro cursar possvel constituir menores chances evaso desinteresse reteno disciplinas simplesmente estudante desconhecia real natureza ponente demandas conhecimentos prvios perfil atividades dificuldades particulares envolvidas metodologia especfica empregada professor atividades serem desenvolvidas bolsista demanda relacionase desenvolvimento prprio portal participao atividades bolsa bolsas disponvel r mensais at bolsista matriculado curso gradao ufrn cursado alguma disciplina permitido bolsa vnculo empregatcio conhecimentos requeridos backend laravel migrations controllers models padro mvc conhecimentos mysql conhecimentos html opcional conhecimentos bsicos frontend inscrever at dia inscries seleo bolsas portal disciplinas imd feita email enviandose histrico disciplinas cursadas ufrn currculo eou algum portiflio produes relacionadas s demandas descritas chamada projeto processo seletivo prova consistir entrevista via google meet realizada dia horrio divulgado email abarcar possibilidades contribuio estudante oferecer projeto conhecimento conhecimentos necessrios
296,prezados turmas disciplinas abaixo abertas hoje hoje termina prazo rematricula vocs solicitar matriculas turmas caso queiram retirar matrcula precisar trancar nus imd vetores geometria analtica presencial n imd arquitetura computadores distancia m imd introduo internet coisas presencial n imd desenvolvimento sistemas web presencial t
297,giro alguma possibilidade abrir turmas optativas n ex tica dados gente noite ja fica limitado quantidade horrios tambm dias j ofertam
298,tica dados sabado dia timo
299,oi pessoal vou encaminhar solicitao vocs diretoria ensino vamos podemos
300,disciplina sbado deu certo
301,tica dados timo
302,oi giro certo abrir alguma optativa sbado
303,up
304,curso redes putadores tecnologia informao sistemas informao afins quantidade vaga bairrocidade estgio tirol natalrn valores bolsa auxlio transporte bolsa r aux transporte r total r carga horria diriasemanal horas dirias horas semanais atividades propostas suporte tcnico usurio atendimento telefnico registro incidentes suporte tcnico via assistncia remota inscrio basta enviar email joaosuporte voc receber formulrio participar processo seletivo data limite inscrio
305,estudantes cursando perodo currculo dever contar disponibilidade horrio vaga horrio manh h s h h s h currculos selecionados ficaro cadastro reserva alunos interessados devero enviar currculo email at dia atividades previstas inicialmente atendimento softwares utilizados ambiente trabalho acompanhar desenvolvimento diversos servios instalaes fsicas redes hardware perifricos sistemas operacionais bancos dados softwares
306,bolsa remunerada existe edital disponvel
307,caso acabei concluir tcnico informtica internet ifrn ingressei bti poderiam abrir exceo sendo perodo j trabalho h algum desenvolvimento web
308,seleo bolsistas realizao aes extenso negcios impacto socioambiental equipe atuar junto comit estadual investimentos negcios impactos sociais cenis definio politicas pblicas equipe estruturao fortalecimento rede confeco solidria cerca mulheres imediato maro inscries feitas formulrio vo at link
309,perodo letivo confirmao vnculo ingressantes presencial online
310,super estgios intuito oportunizar vagas estgios estudantes instituio ensino apresentar excelente oportunidade estgios alunos curso anlise desenvolvimento sistemas bacharelado cincias computao tecnologia informao bacharelado vaga cdigo estudantes disponibilidade estgio perodo manh carga horria bolsa auxlio r r auxilio transporte bairro capim macio estudante desenvolver seguintes atividades auxiliar seguintes atividades instalargerenciar servidores linux criargerenciar mquinas virtuais criargerenciar containers uso pose kubernetes criargerenciar cluster kubernetes instalargerenciar ferramentas monitoramento infraestrutura ti desejvel conhecimentos putao nuvem segurana informao cpias segurana backup controle acesso cadastros realizados site super estgios gratuitamente
311,inscrio feita via sigaa at dia candidato tambm mandar email assunto inscrio monitoria anexar histrico acadmico resposta email candidato tambm receber instrues bsicas avaliao entrevista remota horrio etc dvida projeto seleo feita email
312,anexo est lista inscries deferidas reingresso ciclo bcc bes
313,dia edgard informar estaro disponibilizadas inscries reingresso ciclo bcc bes
314,oi manuel coordenao bcc mudou at vou postar mensagem seguida mrcia planejando antecedncia semestre estipulamos data abrao prolo
315,retorno sr carlos prolo
316,prezados pessoal peo desculpas mensagem offtopic vocs nica maneira coordenao bcc atingir alunos bticomputao tambm h alunos interessados bcc estando nfase alguma convenincia h ms janeiro coordenao eleita bacharelado cincia computao bcc coordenador carlos agusto prolo envio mensagem vice coordenador ranniery silva maia email coordenao melhor opo email chega ranniery fica registrado conta email coordenao mando email s mando atravs conta s conta individual geralmente eventualmente email individual ranniery til tambm quiserem reclamar coordenador infelizmente posto mensagens fruns alunos nome carlos augusto at mudei nome social ufrn carlos prolo algum aparecendo frum c algum estratgia voltei carlos augusto tambm notem frum manda mensagens automaticamente email exceto crio thread seguidor frequenta dimap sala coordenaes graduao trreo dimap entra dimap sala direito escadas frente sala pet reativada pretendo passar l principalmente finais manhs incio tardes aula tambm sala individual andar digo vocs procurar precisarem marcar horrio dimap claro ocupado direto binamos outro horrio princpio vou divulgar contato whatsapp estimular receio perder atendimento generalizar uso whatsapp melhor contato eletrnico coordenao email encaminhamento email individual automatico casos especiais formao grupos whatsapp interessante abrao prolo
317,galera gostaria possvel troca turma perodo matutino atualmente trabalho perodo vespertinonoturno existe possibilidade
318,s turmas perodo vespertino
319,possvel necessrio encontrar algum turno integral deseje realizar troca noturno
320,caso aulas so perodo vespertino gostaria algum matutino
321,tenta secretaria existe possibilidade entra coordenao digo secretaria fcil obter resposta rpido
322,noite josimar turno integral trocar noturno voc quiser gente troca turno whatsapp contato gente conversa blz fico aguardo valeu
323,cara tambm trocar pro noturno puder igo wpp
324,levantamento interesse rematrcula ol galera esperamos timo semestre costume problema indeferimentos infelizmente realidade alunos imd professores superlotao salas pensando nisso importante sabermos so prioridades semestre poderemos pleitear abertura turmas aumento vagas respondam forms matrias voc interesse obter vaga partilhem respondam
325,up
326,up
327,up
328,up
329,instagram cortou mensagem certo
330,up
331,up
332,up
333,up
334,up
335,up
336,up
337,up
338,up
339,up
340,up
341,up
342,up
343,up
344,up
345,up
346,up
347,up
348,up
349,up
350,up
351,up
352,up
353,up
354,up
355,up
356,up
357,up
358,up
359,calouro queria entrar matrias optativas adiantalas
360,perodo rematrcula aberto dia dia durante processo voc realizar cadastro disciplinas opcionais tambm remover obrigatrias
361,ideia colocar matrias optativas semestre j disciplina semestre ocupar
362,oferta disciplina extensionista h prrequisito pro negcios impacto socioambiental cursos horrio t vagas disponveis rematricula aulas presenciais acontecero sala ctec minhoco carga ead aes campo voc propsito gerar mudanas positivas negcio ento venha disciplina est sendo ofertada disciplina pro negcios impacto socioambiental disciplina j negcio modelar ajudar perfil objetivos estudar discutir conceitos relacionados campo empreendedorismo social negcios impacto socioambiental aluno capacidade identificar analisar problemas socioambientais unidade brasil planeta prospectar solues prticas sustentveis problemas identificados sociedade aplicar metodologias ferramentas design solues socioambientais modelar negcios impacto compreender ecossistema investimentos fomentar negcios impacto
363,vaga cdigo estudantes disponibilidade estgio perodo manh carga horria bolsa auxlio r r auxilio transporte bairro capim macio estudante desenvolver seguintes atividades auxiliar seguintes atividades pesquisa implementao prticas segurana atualizadas utilizao spring security implementar controle acesso cadastros realizados site super estgios gratuitamente
364,natal safety est precisando estagirios segue abaixo qualificao profissional necessitamos assistente seguintes atribuies redao unicao proficiente office cursando quaisquer cursos rea administrao relaes publicas ti secretariado direito horarios tarefas detalhes vaga quantidade vagas perodo horrio presencial perodo escolher manha valores bolsa r vale transporte seguro trabalho natal ribeira enviar currculo email assunto vaga estgio
365,enviar constou email encontrado
366,tambm enviei email endereo informado encontrado
367,aconteceu igo
368,instituio defensoria pblica rn estgio i rua srgio severo lagoa natalrn cep estgio ii rua pedro bezerra filho parnamirimrn cep informaes vaga bolsa r auxlio transporte at r horrio estgio s prrequisitos cursando perodo curso bacharelado tecnologia informao horrio s livre realizar estgio atividades serem desenvolvidas manuteno tcnica putadores prestar suporte tcnico usurios realizar instalao configurao softwares realizar anlise sistemas pedimos discente interessado estgio envie histrico acadmico currculo seguinte email seguinte assunto currculo estgio tecnologia informao ufrn at dia caso oa discente receba nenhum contato at dia significa classificadoa prxima etapa processo entrevista
369,edital n paxrn fapern contempla oportunidades bolsas pesquisas seguintes reas cincias econmicas administrao direito tecnologia informao reas afins redes computadores design grfico tecnlogo webdesign reas afins nmero total bolsas disponibilizadas sendo graduandos curso cincias econmicas graduandos curso administrao graduados administrao graduados cincias econmicas graduados direito graduados tecnologia informao reas afins graduados redes computadores graduados design grfico tecnlogos webdesign reas afins valores bolsas r setecentos reais pesquisadores iniciao desenvolvimento tecnolgico eou cultural nvel iii r quinhentos reais pesquisadores desenvolvimento cientfico tecnolgico regional nvel ii informaes edital acesse documento disponvel seguintes pginas perodo inscries at s hmin dia
370,analista requisitos n oportunidades vagas salrio clt r r depender nvel experincia benefcios valealimentao plano sade auxlio home officetransporte gympass remoto carga horria h semanais link analista sistemas n oportunidades vagas salrio r r depender nvel experincia benefcios valealimentao plano sade auxlio home officetransporte gympass remoto carga horria h semanais link desenvolvedora web n oportunidades vagas salrio r r depender nvel experincia benefcios valealimentao plano sade auxlio home officetransporte gympass remoto carga horria h semanais link
371,semestre muitas disciplinas programadas sextafeira destinadas estudantes perodo noturno levou alunos buscarem opes setores so setores diferentes prioridade diminui pedidos indeferidadito possibilidade incluir disciplina imd tica dados n rematrcula
372,interesse
373,up
374,up
375,up
376,up
377,interesse
378,up
379,up
380,up
381,up
382,up
383,up
384,up
385,up
386,up
387,up
388,aberto processo seletivo residente tecnologia informao ministrio pblico rio norte mprn destacamos efetuar inscrio necessrio prove colao grau curso rea ti obter informaes acessar inscries sero gratuitas devero realizadas impreterivelmente h dia fevereiro at h dia fevereiro horrio brasliadf exclusivamente link acesso via conta particular gmail criada gratuitamente caso candidato possua
389,voc apaixonado tecnologia busca oportunidade estgio ti oa permita mergulhar mundo cloud microsoft oportunidade voc esperando descrio vaga estagirio tecnologia voc oportunidade aprender trabalhar projetos emocionantes daro prtica necessrio mercado trabalho principais responsabilidades incluiro apoiar ercial venda produtos servios microsoft aprender solues microsoft incluindo microsoft azure produtos empresa auxiliar prospeco clientes desenvolvimento oportunidades vendas colaborar elaborao erciais apresentaes prestar suporte clientes esclarecendo dvidas fornecendo informaes produtos acompanhar processo vendas prospeco at fechamento venda requisitos estudante cursando graduao tecnologia cincia computao redes etc paixo tecnologia vontade aprender habilidade trabalho equipe unicao proatividade capacidade solucionar problemas desejvel obrigatrio experincia prvia microsoft microsoft azure benefcios oportunidade aprendizado crescimento profissional exposio tecnologias avanadas projetos desafiadores acesso treinamentos oficiais produtos microsoft ambiente trabalho colaborativo inovador possibilidade efetivao aps trmino estgio horrio trabalho bolsa horrio estgio horas dirias s bolsa r j contemplando transporte vaga estgio trainee durao contrato salrio r ms horrio trabalho sextafeira perguntas seleo reside natalrn igatrio prazo inscrio n cnpj curso redes putadores tecnologia informao sistemas informao afins quantidade vaga bairrocidade estgio tirol natalrn valores bolsa auxlio transporte bolsa r aux transporte r total r carga horria diriasemanal horas dirias horas semanais atividades propostas suporte tcnico usurio atendimento telefnico registro incidentes suporte tcnico via assistncia remota inscrio basta enviar email joaosuporte voc receber formulrio participar processo seletivo data limite inscrio
390,ol vocs site est sendo desenvolvido alunos imd isaac loureno ian dias emanuel kywal ramon jales danillo fonseca ajudar processo escolhas disciplinas perodo matrcula intuito divulgar disciplinas pretente pagar amigos organizem pagar disciplinas juntos verso ficou pronta recentemente possui vrios aspectos melhorar feedback bug melhoria enviado telegram projeto open source agredecemos contribuies tambm
391,up
392,up
393,ideia massa bicho
394,abo
395,up
396,boaaa
397,up
398,up
399,tanko interessar possa
400,caso algum docente possa ajudar obteno credenciais utilizar api sigaa entrar contato telegram incrvel j
401,up
402,up
403,up
404,up
405,up
406,pessoal projeto parar so vrios planos ajuda bemvinda
407,up
408,vaga estgio conforme anexo
409,informaes documento anexo
410,aconselho inscrever pro polo parnamirim pra rea informtica nica selecionada pra ltima seleo at hoje chamaram
411,ol dia coordenao gostaria turma edb est sendo ofertada possui docente definir j docente definido existe possibilidade professor aulas
412,up
413,up
414,up
415,up
416,garantia possvel professor chamado vincius santana est dando edb turma frias
417,faltam matrias p formar ficando difcil conseguir achar alguma turma noturno semestre simplesmente matria consiga pagar n j paguei obrigatrias pouqussimas optativas j paguei tb ficam repetindo noturno prximo semestre alguma optativa diferente pra pagar vou recorrer novamente optativas nexo curso historia filosofia antropologia etc olha sorte indicies so bons reprovei matria ento matrias matriculo deferido fico imaginando privilegio alm poucas turmas dificuldade entrar so ofertadas
418,voc prova enem ganha vaga sisu escolhe turno noturno estudar entra universidade achando estudar noite disciplinas suficientes pagar integral outro setor imd
419,fica buraco horrio recorrendo matrias mnimo interesse tambm
420,tambm mesma situao
421,pra mim caso n
422,mesma situao paia
423,at pra obrigatrias pagar est difcil vrias matrias turno noite esto chocando matria colocaram turno manh semestre praticamente opes metade curso entra semestre sai semestre situao continua mesma vrias reunies efeito
424,up
