,0
503,banco dados marianne batista diniz silva horas
509,redes so ead
513,corequisito
515,última semana inscrição mestrado engenharia mecatrônica
516,turma infraestrutura web
546,aproveitando banco dados h h
549,vaga estagiário dados
551,turma est substituída est
553,professor turma férias edb
557,grade
569,vetores geometria analítica
571,grade
573,ementa turma imd tópicos ti n
574,alguém querendo mudar turno n mt
578,seleção alunos regulares mestrado ppgemeca semestre inscrições janeiro
579,turma fundamentos bioquímica biologia molecular
587,dim banco dados h
595,vagas estágioemprego alunos imd
596,turmas segurança semestre
637,iea
652,edital nº processo seletivo alunos regulares mestrado ppgemeca semestre
653,reingresso º ciclo bcc bes
657,interesse turma computação prof selan
681,horário secretaria durante recesso finalinício ano
682,eleição coordenação bcc
687,solicitação mudança ênfaseestrutura curricular
697,palestra imd
699,previsão lp turma férias
702,formandos
704,campanha doação sangue ieee in class
708,solicitações dispensa proficiência
746,aproveitando ponentes curriculares
747,dica consultar situação turmas férias
752,vaga iniciação científica
753,solicitação prorrogação prazo conclusão
760,coordenação bti
765,semana portas abertas bioinformática
766,solicitação turmas verão encerra
790,visita imd
793,minicursos semana portas abertas bioinformática
797,reuniões mensais coordenaçãoalunos
808,turmas férias
838,ª open house dimap semana sábado
843,seminário pesquisa introdução compressão arquivos
847,permuta turno integral noturno
850,publicação artigo marte rpg
851,alguém pagando samyr turma m tirar dúvida
852,seleção estagiário pósgraduação remunerado tjrn
853,edital nº processo seletivo mestrado engenharia mecatrônica semestre
854,processo eleitoral representação discente resultado
855,votação processo eleitoral representação discente colegiado bti
856,processo eleitoral representação discente candidaturas acatadas homologadas
857,processo eleitoral representação discente candidaturas acatadas
859,processo eleitoral representação discente colegiado bacharelado tecnologia informaç
860,oferta estágio
861,permuta turno
866,edital processo seletivo programa estágio trern
867,alunos pc c vga percam atendimentos monitores
868,caern estágio tecnologia informação tirol natalrn
873,profusion estágio verão
876,solicitação permuta turno
877,psicologia
880,auxílio transporte
882,edital processo eleitoral representação discente colegiado bti
883,feedback monitoria fmcn
888,expediente secretaria bti dia
889,super estágios vaga aberta
890,vaga desenvolvedora phplaravel
892,vaga desenvolvedora angularnestjs
893,professor sistemas operacionais
899,ajudenos identificar obstáculos enfrenta graduação ufrn
900,ieee day
904,resultados eleição daal
907,seminários pesquisa
908,apelo público bancada federal rn
914,processo seletivo petccufrn
921,abertas inscrições epogames
924,votação daal aberto hoje sigeleição
929,semana computação
933,interessar possa
943,processo seletivo women in engineering wie ufrn
948,link gravação debate realizado eleição daal
950,convite participação pesquisa atuação mulheres ufrn
956,debate daal link meet
957,debate daal link meet
958,debate eleição daal dia h b
962,nota esclarecimento eleição daal
964,turma sistemas operacionais professor
972,cadastro reserva monitores proeidi inclusão digital idosos
973,permuta turno integral noturno
974,turmas edb lp
977,divulgação edital paxfapern nº oportunidade bolsas pesquisa
978,abertura turmas edb lp interessar possa
1005,eleição gestão diretório acadêmico ada lovelace
1007,estudos encontro arquivos preencher informações
1009,turmas edb
1012,oportunidade bolsa projeto doama amanhã
1013,turmas redes gerencia segurança redes optativa iniciam aulas set
1015,seleção voluntários projeto inclusão digital idosos
1021,reunião colegiado reforma grade amanhã h
1032,repasse assembleia dia
1034,turma sistemas operacionais professor voluntario exgoogle
1042,assembleia coordenação direção ensino
1062,indeferimentos bti
1065,indeferimentos bti
1134,turmas lp edb
1147,sistemas operacionais t sabado
1149,alunos acataram aumento média confira mudança média ufrn
1162,abertura turma lp ii dim dimap horário t entender
1164,turmas manhã dim fmc i dim fmc ii dimap iniciam aulas agosto
1168,hoje eleição coordenação bes
1169,cadê professor
1181,turmas lp
1210,formandos
1211,divulgação disciplina maratona programação ect
1215,oportunidade estágio
1216,convocação seleção bolsista técnicoadministrativo núcleo tirésias
1217,mobilização alunos bti prol situação indeferimentos
1221,vaga estágio
1222,necessitase turmas lp
1248,
1263,disciplinas deveriam optativas eletivas
1268,optativas noturno
1301,turmas so
1310,matrículas linear
1311,turma banco dados
1322,mudança ênfaseestrutura curricular efetivada
1352,monitoria fmc seleção
1353,seleção monitoria fmc ii
1355,urgente desejam cursar introdução técnicas programação
1361,adicionar mus áudio trilhas sonoras jogos pes jogos
1373,corequisitos lp edb
1388,oportunidade vaga estágio dataprev
1391,disciplina programando investimentos tópicos especiais es v
1394,turma imd disponível caicó
1405,grade
1407,calculo calculo diferencial integral equivalentes
1412,turma banco dados dimap
1414,turma horário pleto
1415,certificado pes
1417,horário funcionamento secretaria dia
1418,alterações horários turmas dim última hora
1419,disciplina gestão infraestrutura ti
1422,grade curricular
1452,funcionamento secretaria bti
1454,portal disciplinas imd
1455,turmas pes produção jogos digitais ofertadas
1456,portal disciplinas imd
1462,mudança turno
1473,adiamento eleição coordenação bes
1474,data limite prorrogação prazo conclusão
1476,oportunidade bolsa pibicinpe
1477,homologação chapas processo eleitoral coordenação bes
1478,inscrição fase maratona brasileira programação
1489,processo eleitoral coordenador vicecoordenador ppgti
1490,vendedores alimentos ufrn
1491,consumidores alimentos ufrn
1492,reingresso º ciclo bcc bes
1496,mudança turno integrado
1500,dia inscrição mestrado engenharia mecatrônica bolsas disponíveis
1501,formandos
1502,últimos dias inscrição mestrado engenharia mecatrônica bolsas disponíveis
1503,mudança grade ênfase computação
1511,troca turno
1512,gmtk game jam
1524,última semana seleção mestrado engenharia mecatrônica semestre bolsas disponíveis
1525,formulário interesse discente turmas
1537,formulário dificuldades tdah ple
1540,solicitação mudança ênfaseestrutura curricular
1556,imdie talks evento jogos
1565,edital nº seleção mestrado eng mecatrônica semestre bolsas disponíveis
1566,haverão turmas férias semestre
1570,grade entra vigor
1581,º congresso brasileiro inovação gestão desenvolvimento produto cbgdp
1582,deferimentoindeferimento solicitações proficiência
1612,faq fundamentos jogos digitais podcast tis
1615,palestra precarização trabalho ti papel movimento estudantil
1628,gentileza respondam eve formulário pesquisa ple
1631,oportunidades iniciação científica
1635,curso gratuito power bi
1641,faq acham disciplina fundamentos jogos
1642,vaga estágio
1644,edital nº processo seletivo alunos regulares mestrado ppgemeca semestre
1645,eleições dce ufrn vote h amanhã dia definir gestão dce
1651,permuta turno integral noturno
1653,divulgação vaga estágio análise dados guararapes
1654,abaixo assinado sala estudos imdufrn
1693,itp lp
1709,espaço estudos
1714,mai data eleição representação discente colegiado bcc
1717,mai h h eleições representação discente colegiado bcc
1719,seleção bolsista iniciação científica
1721,turma lp noturno n professor
1739,permuta turno noturno integral
1756,imd turmas professor
1783,turma itp m professor
1797,oportunidade estágio tarken
1799,envio atestado
1801,eleição representação discente colegiado bcc
1802,viver experiência alfabetizar pessoas jovens adultas
1803,integra calouros atlética tirana
1809,dispensa proficiência
1833,canecos tirana
1834,imd sistemas operacionais t professor
1839,mus áudio trilhas sonoras jogos t pes jogos
1843,seleção monitoria fmcii
1845,mesmos criadores indica trampo vagas devs c
1846,divulgação curso introdução ciência dados usando r
1847,recepção alunos ingressantes bti
1850,urgente turma imd sistemas operacionais
1853,imd itp professor
1857,urgente criação vagas turmas itp existentes
1862,funcionamento secretaria bti hoje amanhã
1863,alunos indeferidos matérias
1918,recepção estudantes
1919,dupla tópicos especiais sistemas informação gestão t
1924,rodas conversa diversidade mulheres computação
1926,atlética tirana produtos
1942,participação comissão permanente inclusão acessibilidade cpia imd
1967,formandos
1968,engmaker modulo desenvolvendo arduino basico nivel ii turma
1969,abertura vagas so
1992,seleção voluntários projeto inclusão digital idosos
2003,possibilidade abrir turma sistemas operacionais
2022,bolsa portal disciplinas
2025,disciplinas semestre
2029,oferta ple ple
2031,professor definir
2032,turmas lp noturno
2037,disciplina professor cadastrado
2044,turmas criadas hoje
2050,turmas arq computadores n
2055,turmas poucas vagas
2068,aproveitamento disciplinas
2073,turma cálculo m
2077,turmas rematricula
2109,natal bioinformatics forum
2111,horário funcionamento secretaria
2112,fórum bioinformática natal
2113,cursos verão petcc
2116,apresentação transmissão vivo via youtube entrada via sisu bcc fev h
2117,inscrevamse canais youtube bcc dimap
2118,turmas matérias jogos
2145,turma cálculo it sumiu matrícula sigaa
2148,lp noturno
2160,turma lp integral
2161,oportunidade estágio inss
2162,vaga estágio tecnologia informação dpern
2163,nube oportunidade estágio tecnologia informação
2164,mudança horário turma cálculo diurno
2166,aproveitamento estudos
2171,processo seletivo tsmx sgp
2177,oferta edb lp
2189,compilação turmas ofertadas linha produção jogos digitais bti
2196,possibilidade edb lp serem ead vagas
2201,banco dados ofertada noite
2208,oferta disciplina extensionistah prérequisito pro negócios impacto socioambiental
2209,aberta turma lp n
2217,informações oferta tópicos especiais produção jogos digitais imd
2222,oferta imd geometria euclidiana
2228,aprendizagem baseada projetos
2231,precisamos turmas bti noturno
2258,turmas ead semestre
2298,disciplina edb ofertada imd semestre
2300,imd sistemas operacionais excluída
2306,turmas lp manhã
2311,corequisitos iriam deixar existir semestre
2329,linguagem programação ii noite
2336,itp noturno
2345,turma calculo manhã
2347,disciplinas n
2351,turmas itp
2354,fmc
2362,turmas dim
2363,turmas disciplinas
2374,portal disciplinas imd auxiliar escolha disciplinas
2375,recesso secretaria bti durante ano
2377,turma férias
2391,proficiência
2393,status formando
2399,reingresso º ciclo bcc bes
2403,permuta integral noturno
2410,prorrogação prazo
2418,oportunidade estágio programa verão futebol interativo
2419,mascote atlética bti
2424,prorrogação prazo conclusão
2425,apresentação cursos ciclo bcc bes
2427,palestras carol putáveis binatórios
2428,solicitação mudança ênfaseestrutura curricular
2441,alunos ingressantes
2442,deferimentos solicitações proficiência
2455,ficou situação resultado processos aproveitamento estudos
2460,vaga trabalho
2461,itp férias
2465,matemática elementar férias
2470,processo seletivo ramo ieee ufrn
2474,oferta curso desenvolvimento trilha sonora jogos
2476,assaltos proximo imd
2501,formulário interesse disciplinas semestre btiufrn
2512,divulgação i workshop ti nuplam
2519,evento update daal
2520,oportunidade bolsa
2521,levantamento setor práticas educacionais
2523,palestra ética pesquisa
2524,cadê cadê proficiência boneca
2536,ementas assinadas
2542,inscrições realização atividade evento update
2544,criação atlética bti
2555,permuta turno noturno integral
2556,votação definir nome atlética bti
2559,eleição coordenação bti ocorrendo hoje h
2560,participação organização sibgrapi sbgames svr
2568,turma férias
2577,painel ensino ihc
2578,formandos
2586,alguma novidade edital ciclo algum canal unicação formandos
2594,evento educação financeira agir momentos incerteza
2595,pelada bti
2610,trancamento matrícula
2614,permuta turno integral noturno
2615,eleição coordenação bti
2616,ajuda projeto lp
2625,professor lp noturno
2644,seleção bolsistas petccufrn
2646,vaga empregoestágio
2647,imd sistemas operacionais t
2660,assembleia mensal daal ocorrerá hoje
2663,vaga coordenador ti
2666,seleção alunos bolsistas ic lappsnpiti
2668,atenção procurase voluntários staff maratona programação
2669,cronograma dispensa proficiência
2676,disciplinas férias
2693,oportunidade bolsa ic
2699,datas proficiências
2707,vaga indisponivel
2709,seleção alunosas iniciação científica tema engenharias engajadas ee
2710,divulgação evento ieee week
2712,seleção alunosas iniciação científica tema negócios impacto social nis
2713,seleção voluntários monitoria pensasmento computacional itp
2714,inscrições abertas potiguar rocket design
2715,bolsa técnico aluno ti
2716,sistemas operacionais professor
2720,disciplinas eletivas
2728,consegui vaga introdução técnicas programação disciplina semestre
2732,semestre insatisfação
2798,cadastrar email institucional
2803,ieee week
2806,prazo inscrição maratona desconto hoje agosto
2807,turma lp edb noite
2829,regime domiciliar
2831,disciplina optativa aprendizado máquina bioinformática
2832,mudança turno integrado noturno
2834,consulta turma arquitetura computadores presencial
2866,inscrições maratona programação
2871,interesse abertura turma lp
2881,turma sistemas operacionais
2890,interesse turma lp
2913,cursos férias
2926,turma matemática elementar
2942,disciplinas ead
2956,planos curso ponentes dim bcc bticomputação
2957,turmas lp ii edb ii
2963,poucas opções disciplinas noturnas
2983,dim visão computacional
2984,turmas ead
2990,dúvida aproveitamento cursos online grade
2991,planos curso turmas semestre
2996,matrículas iniciaram hoje sigaa ficará indisponível semana
2997,proficiência práticas leitura escrita português ii
2999,permuta turno integral noturno
3007,permuta turno integral noturno
3009,formandos inserção documentos sigaa
3017,portal pes gerando certificado
3022,turno noturno curso engenharia software
3051,mudança grade
3061,fmc férias
3066,solicitação mudança ênfaseestrutura curricular
3071,permuta turno integral noturno
3072,perdi email institucional
3075,oportunidade empregoestágio
3076,reprovações pós pandemia
3086,v workshop redes avançadas v wtr natal
3095,reingresso º ciclo bcc bes
3100,questionário optativas semestre
3101,data batepapo escolha carreira graduação
3102,curso extensão maratona programação
3103,adiado batepapo escolha carreira graduação
3104,cancelamento aulas
3110,respeito reunião recente reforma curso
3148,batepapo escolha carreira graduação
3152,oportunidade bolsa dimap
3153,perdi chave
3154,monitoria língua inglesa vagas sendo remunerada voluntária
3162,assembleia repasse mensal daal dia horário n
3163,roda conversa estresse burnout acadêmico
3164,dispensa disciplina
3167,curso certificação oficial nvidia online
3168,formandos
3171,permutação norturno integral
3175,imperdível palestra prof philip wadler criador haskell h
3176,conape oportunidade monitoria
3177,proposta disciplinas matemática bti
3239,solitação abertura turmas período recesso
3245,vaga estágio doutor pc
3246,v simpósio norte nordeste bioinformática julho campina pb
3248,vaga desenvolvedor
3250,oportunidade vaga emprego
3251,solicitação aproveitamento matérias
3292,eleição diretório acadêmico ada lovelace daalbti
3294,expresso imd carona amiga
3310,carona amiga coophab parnamirim
3313,semana indústria rn
3314,formandos telegram resolver questões colação
3315,enquete grau satisfação preenchimento formulário avaliação semestral sigaa
3316,eleições daal chapas inscritas
3318,seleção bolsa iniciação científica remunerada laper²me
3319,programa miniempresa
3320,orientador
3322,abaixo assinado virtual segurança alunos imd
3384,inúmeros assaltos parada inverso residência universitária
3437,segurança imd ufrn
3452,pesquisa petcc melhor apoiar alunos bti bes bcc
3453,eleição daal
3454,petcc ajudar
3455,seleção bolsista proeidi projeto extensão inclusão digital idosos
3456,entrar coordenador
3458,covid
3460,edital seleção bolsista ic par imtrn
3463,carteirinha estudante perdida
3466,oferta emprego comercial maranguape
3468,seleção monitoria algoritmos linguagens programação dim dim
3469,necessidade monitorias distribuição bolsas
3472,treinamento petições programação
3473,oportunidade residência ti turma trern
3474,seleção monitoria ple português i ii
3477,programa miniempresa imd
3478,pemuta turno diurno noturno
3480,apto prova dispensa disciplina
3483,monitoria fmcn oferecida projeto
3484,oportunidade emprego
3485,estágio
3486,dúvida quantidade ponentes eletivos
3487,whatsapp matemática elementar imd turma sala b
3488,kitnet
3495,resposta coordenação reforma matemática bti
3496,comunidade dev hert
3499,computadores estudos
3508,vagas estágio tiáreas afins remunerado esig group
3510,whatsapp ingressantes
3516,prova proficiência
3520,trancamento disciplina
3522,feriado semana santa
3524,dispensa disciplina
3533,imd práticas leitura escrita português iii m
3536,zap pra lp professor júlio
3538,live boasvindas alunos ingressantes
3539,indeferido novamente
3566,computadores estudo
3570,deferimento solicitações proficiência
3577,indeferidos
3646,brasileira maratona programação acontecendo gramado
3651,turma imditp
3721,seleção monitor introdução tecnicas programaçãoitp pensamento computacionalpc
3722,aproveitamentos estudo
3724,vaga estágio ti
3726,turma lp m
3730,disciplina eletiva
3733,turma itp m
3734,reunião núcleo mulheres
3739,mensagem boasvindas
3745,dim teste software i h
3750,circulares linhas passam campus
3752,turmas edb lp
3754,aproveitamento matérias
3759,alunos rn
3765,permuta turno mt n
3786,matricula online
3791,alta demanda baixa oferta vagas
3821,voltar pro planalto n
3831,estudo dirigido imd mecânicas balanceamento jogos
3843,bolsas portal disciplinas
3845,turmas oferecidas formato distância semestre
3862,imd tópicos especiais iot ccna ii descrição disciplina
3864,solicitação componente curricular
3885,desenvolvimento sistemas web
3888,componentes bcc ênfase bticomputação
3889,disciplina sistemas operacionais imd
3894,n
3897,cursos escola verão pet ciência computação
3899,atenção mudança horário turma imd
3900,trocar turno mt n
3904,oferta disciplinas remotas presenciais
3906,representação discente colegiado bcc
3908,permuta turno
3911,reingresso º ciclo bcc bes
3916,deferimento solicitações proficiência
3926,inscrições ingresso ciclo besbcc
3927,solicitação mudança ênfaseestrutura curricular
3931,oportunidade bolsa técnico alunos ti
3936,aluno professoer materias assíncronas
3943,ppgeecufrn edital seleção mestrado doutorado
3947,consulta corpo discente dimap imd
3949,permuta turno mt n
3950,utilização espaço imd estudo
3951,reprovei matérias
3958,oportunidade estágio ti secretaria planejamento finanças rn seplan
3961,ingresso ciclo
3963,solicitação dispensa disciplinas proficiência cronograma links
3976,convite participar pesquisa usando software edição vídeos
3977,seleção bolsista técnico administrativo instituto medicina tropical
3980,seleção bolsa
3983,vaga estágio secretaria planejamento finanças rn seplan
3984,vaga estágio imediato
3986,feliz ano
3990,oportunidade bolsa
3991,professor definir
3993,recesso secretaria ppgite
3994,turmas professores
4003,residência ti
4004,disciplina professor informações imd tópicos especiais inovação
4021,divulgação resultado eleição coordenação bcc
4022,processo eleitoral representante discente colegiado curso edital ppgti
4026,ete eleição coordenação bcc hoje
4027,ete eleição coordenação bcc
4028,formandos
4031,evento vii workshop npitiimd
4034,bolsa secretaria inclusão acessibilidade
4036,evento hackathon inclusão acessibilidade ufrn
4037,estágio dataprev
4038,curso shell script
4042,evento wie day papo acadêmico
4043,vaga uxui designer
4044,homologação inscrições coordenador vice bcc
4045,vagas desenvolvimento software remoto
4047,edb ii lp ii
4050,oportunidade trabalho
4051,enade
4052,pesquisaufrninstituto
4053,oportunidade bolsa técnico dpp ufrn
4054,imd desenvolvimento dispositivos móveis
4065,repassando oportunidade analista sistemasdesenvolvedor ruby on rails
4066,evento extensao adageo summit school on data science based geophysics
4067,seleção bolsistas técnico administrativo laboratórios estudos
4074,acesso gravações seminario putação
4076,uso laboratórios estudo imd agendados via aplicativo
4083,alunos turma itp horario n
4084,abertura vagas fmc itp
4085,convite oficina trajetória acadêmica hábitos estudos
4092,matrícula extraordinária
4100,prazo solicitação permuta turno
4104,convite gorn
4106,requerimento proficiência
4112,prazo realização rematricula adiado hoje
4113,planos curso aprovados
4119,turmas abertas
4126,indeferimento materia
4163,processamento matrícula matriculado indeferido aconteceu
4164,vaga programador júnior
4165,disciplinas equivalentes obrigatórias ofertadas dimap
4167,quantidade insuficiente vagas disciplinas
4180,dúvidas turmas linguagem programação imd
4184,vaga técnico ti
4186,formandos
4189,oportunidade bolsa alunos graduação projeto sigsaude imdufrn
4190,inscrições times maratona programação saiba maissaiba ma
4192,edital mobilidade virtual andifes inscrições bloco bloco
4197,formulários dispensa disciplinas
4229,oportunidade emprego técnico ti
4232,previsão divulgação planos curso
4237,planos cursos bcc ênfase bticomputação
4238,eleição representação discente
4241,inclusão imd ciências optativa
4243,grupos telegram estudantes cc
4245,imd tópicos especiais internet coisas d graduação
4247,trancamento programa posteriori
4256,divulgação oportunidade bolsa pesquisa projeto
4259,solicitações proficiência imd práticas leitura escrita português ii
4267,urgente oportunidade bolsa ic
4268,bolsa técnico enviar email amanhã
4269,maratona sebraeufrn empreendedorismo inovação
4271,convite participação pesquisa questionário
4273,oportunidade bolsa técnico centro tecnologia
4274,pesquisa alunos pagaram vga ajude melhoria
4275,oportunidade bolsa alunos graduação
4276,oportunidade emprego laniaq várias vagas aberto
4286,solicitação ponentes bcc bticomputação
4299,cargos desenvolvedores surfmappers
4300,oportunidades startup natal
4301,permuta turno
4302,algum formulário verificar demanda disciplinas semestre
4304,bolsa ic remunerada assumir bolsa remunerada
4305,ganhe experiência dev voluntário ong acalanto conteúdo
4306,oportunidades bolsas ic
4307,pesquisa jovens empresas diversidades
4308,vaga bolsista nacufrn
4309,divulgando seleção bolsa ic controle governamental justiça federal
4310,voluntário ic pesquisa engenharia engajada extensão universitária contribuições ensino
4311,seleção bolsa iniciação científica remunerada
4312,solicitações proficiência imd linguagem programação i
4314,existe algum alunos formandos semestre
4320,seleção bolsa ic remunerada
4321,solicitações proficiência imd banco dados
4327,solicitações proficiência imd prática leitura escrita inglês
4330,solicitações proficiência imd inglês básico
4333,edital seleção mestrado profissional tecnologia informação mpti ppgti
4334,questionário retorno modalidade presencial
4340,bolsa lais
4342,seleção bolsista ic remuneradovoluntário
4343,oportunidade iniciação científica voluntária
4345,proposta reforma percurso disciplinas fmcn
4369,oportunidade bolsa iniciação científica indicar interesse sigaa
4370,funciona aproveitamento disciplinas ciclo
4374,divulgação edital clt funpec
4375,solicitações proficiência fundamentos jogos digitais
4376,solicitações proficiência imd fundamentos matemáticos computação i
4377,solicitações proficiência imd redes computadores
4378,solicitações proficiência imd introdução técnicas programação
4379,solicitações proficiência imd desenvolvimento sistemas web i
4380,solicitações proficiência imd linguagem programação ii
4381,solicitações proficiência imd estrutura dados básicas i
4382,solicitações proficiência imd sistemas operacionais
4383,solicitações proficiência imd estruturas dados básicas ii
4384,solicitações proficiência imd desenvolvimento sistemas web ii
4385,solicitações proficiência imd arquitetura computadores
4386,reingresso ciclo ciência computação engenharia software
4387,oportunidade estágio home office gdo data plataform
4389,vaga dev backend django
4392,resultado eleições coordenação bes
4393,ete hoje eleição coordenação bes
4396,homologação chapas processo eleitoral coordenação bes
4397,divulgação evento seleção estagiários visagio
4398,plano ação trienal cursos graduação live dia
4400,oportunidade estágio
4401,debates melhorias fmc
4405,conexão tech fundação estudar
4406,oportunidade emprego desenvolvedor junior
4407,solicitação mudança ênfaseestrutura curricular
4415,formulário corpo discente bcc bti pretende ingressar bcc
4417,live nacional maratona programação
4418,imd promove ª edição cine metrópole
4423,recepção ingressantes alunos bcc
4425,inscrições mestrado doutorado ppgeec amanhã
4431,dispensas disciplinas semestre
4432,proficiênciaaproveitamento disciplinas
4444,contratação professor disciplina imd análise combinatória
4450,ferramentas disciplina imd matemática elementar
4459,professor disciplina desenvolvimento dispositivos móveis n
4461,ênfase bti
4464,alunos ingressanteslive boasvindas
4466,vaga fapesp analista dados estatísticas
4467,vaga fapesp cientista dados
4468,oportunidade estágio
4469,vagas itp
4492,vídeo divulgação maratona programação pet cc ufrn
4493,turmas esperando contratação professor
4495,vaga desenvolvedor backend
4496,pesquisa efeito motivação status escolha curso ensino superior
4497,acesso multoprova
4499,data horário formato proficiências
4501,processo seletivo equipe carkará baja sae
4506,vaga monitoria academia digital idosos
4507,começa palestra inovação sociedade
4511,confirmação vínculo prazo
4516,pesquisa pósdoutorado
4517,alunos ingressantes prazo solicitar proficiencia dia
4527,curso introdução linux
4529,modelagem problemas computacionais grafos
4530,banco dados vagas
4531,acesso piazza prof lourena karin
4534,abertura turmas edb ii lp ii
4535,duvida referente gravação síncrono
4537,recuperar email institucional
4542,whatsapp
4547,aumentar capacidade alunos discisplina imd análise redes h
4549,equivalência matéria sistemas operacionais
4553,horarios aulas convites sala
4559,aproveitamento matéria eletiva
4563,plementares
4566,incrições abertas pra monitoria análise combinatória geometria analítica
4576,aproveitamento matéria
4591,cadastro disciplinas obrigatórias
4598,competição sistemas embarcados sbescesc deadline
4599,turno curso bti
4603,vaga desenvolvedores software
4604,seleção monitor matemática elementar
4605,bolsa monitoria pc itp
4608,guia adesão cadastro único ufrn
4609,bolsa monitoria portal disciplinas imd
4614,solicitações proficiênciadispensa
4616,teste proeficiência
4624,planos curso
4631,planos curso bti ênfase computação bcc
4632,estágio verão vtex webinar ufrn
4633,disciplina sistemas operacionais
4638,turmas cálculo vga noturnas
4642,planos curso bti desenvolvimento softwarebes
4644,existe planos curso
4653,oportunidade estágio suporte ti
4654,apresentação empresa griaule
4656,promover andifes edital nº
4657,permuta turno prazo pra solicitação
4665,demandas disciplinas ênfase bticomputação bcc
4690,mudança ênfaseestrutura curricular período solicitação aberto
4696,inscrições bccbes ciclo bti terça abril
4704,oportunidade voluntariado acalanto
4707,resolução estágio
4708,oportunidade bolsas projeto samanaú sbcda
4712,seleção bolsista
4713,edital seleção mestrado profissional tecnologia informação mpti
4714,convite conexão metrópole interação estudantes universitários empreendedorismo
4717,resultado eleição representação discente bcc
4719,wie can fly oportunidades desafios exterior evento certificado
4721,solicitações dispensa imd práticas leitura escrita inglês
4723,solicitações realização prova proficiência imd inglês básico
4725,hoje eleição representação discente bcc
4726,seleção monitor pensamento computacional introdução técnicas programação
4727,fundação empresa júnior imd
4729,oportunidades abertas trainee estágio efetivos
4730,representação discente bcc
4732,edital seleção bolsistas petccufrn
4735,projeto portal disciplinas imd
4737,oportunidade estágio logap
4739,seleção bolsista extensão
4740,biblioteca abrir empréstimos agendados sigaa março extraído boletim
4743,bolsa elaboração questões provas online matemática pro ensino básico
4744,solicitações realização prova proficiência imd desenvolvimento sistemas web i
4745,solicitações realização prova proficiência imd praticas leitura ingles
4748,formandos
4785,professor particular geometria euclidiana
4787,º concurso trabalhos iniciação científica ctic csbc
4788,curso informação quântica
4789,pesquisa boas práticas programação
4791,seleção bolsista técnico administrativo
4792,eleição representante discente colegiado bti
4793,tempinho
4798,produção conteúdo remunerada
4799,pesquisa perfil leitores revistas digitais
4800,urgente assinatura estágios ações responsabilidade coordenação
4813,professor
4823,seleção bolsistas petccufrn
4824,alunos bcc bticomputação
4825,votação daal
4828,professor definir
4832,oportunidade emprego
4833,nota processo eleitoral
4834,treinamento petições programação
4835,atividades
4839,oportunidade estágio
4840,atendimentos psicológicos individuais setor pedagógico imd
4841,disciplinas imd dimap
4852,cronograma proficiencia
4855,eleição daal
4856,dim fundamentos matemáticos computação ii t
4861,proficiências
4868,bolsa portal disciplinas imd
4876,disciplina aprendizado máquina imd
4878,processo seletivo projeto extensão gatinhos ufrn
4879,proficiencia itp pleii
4882,vaga estágio autoforce
4883,podcast condições trabalho ti
4884,planos curso
4897,dim tópicos especiais computação xi dim lógicas nãoclássicas
4902,disciplinas oferecidas dimap
4903,pesquisa comissão permanente inclusão acessibilidade imd cpia imd desenvolvendo
4904,dúvida proficiência
